#,Name,Type,Total,HitPoints,Attack,Defense,SpecialAttack,SpecialDefense,Speed,Generation,Legendary
436,Bronzor,Electric,300,57,24,86,24,86,23,4,FALSE
437,Bronzong,Electric,500,67,89,116,79,116,33,4,FALSE
438,Bonsly,Water,290,50,80,95,10,45,10,4,FALSE
440,Happiny,Grass,220,100,5,5,15,65,30,4,FALSE
441,Chatot,Grass,411,76,65,45,92,42,91,4,FALSE
442,Spiritomb,Water,485,50,92,108,92,108,35,4,FALSE
443,Gible,Fire,300,58,70,45,40,45,42,4,FALSE
444,Gabite,Fire,410,68,90,65,50,55,82,4,FALSE
445,Garchomp,Fire,600,108,130,95,80,85,102,4,FALSE
446,Munchlax,Grass,390,135,85,40,40,85,5,4,FALSE
447,Riolu,Fire,285,40,70,40,35,40,60,4,FALSE
448,Lucario,Fire,525,70,110,70,115,70,90,4,FALSE
449,Hippopotas,Grass,330,68,72,78,38,42,32,4,FALSE
450,Hippowdon,Grass,525,108,112,118,68,72,47,4,FALSE
451,Skorupi,Electric,330,40,50,90,30,55,65,4,FALSE
452,Drapion,Electric,500,70,90,110,60,75,95,4,FALSE
453,Croagunk,Electric,300,48,61,40,61,40,50,4,FALSE
454,Toxicroak,Electric,490,83,106,65,86,65,85,4,FALSE
455,Carnivine,Grass,454,74,100,72,90,72,46,4,FALSE
456,Finneon,Water,330,49,49,56,49,61,66,4,FALSE
457,Lumineon,Water,460,69,69,76,69,86,91,4,FALSE
458,Mantyke,Water,345,45,20,50,60,120,50,4,FALSE
459,Snover,Grass,334,60,62,50,62,60,40,4,FALSE
460,Abomasnow,Grass,494,90,92,75,92,85,60,4,FALSE
461,Weavile,Water,510,70,120,65,45,85,125,4,FALSE
462,Magnezone,Electric,535,70,70,115,130,90,60,4,FALSE
463,Lickilicky,Grass,515,110,85,95,80,95,50,4,FALSE
464,Rhyperior,Grass,535,115,140,130,55,55,40,4,FALSE
465,Tangrowth,Grass,535,100,100,125,110,50,50,4,FALSE
466,Electivire,Electric,540,75,123,67,95,85,95,4,FALSE
467,Magmortar,Fire,540,75,95,67,125,95,83,4,FALSE
468,Togekiss,Fire,545,85,50,95,120,115,80,4,FALSE
469,Yanmega,Fire,515,86,76,86,116,56,95,4,FALSE
470,Leafeon,Grass,525,65,110,130,60,65,95,4,FALSE
471,Glaceon,Water,525,65,60,110,130,95,65,4,FALSE
472,Gliscor,Grass,510,75,95,125,45,75,95,4,FALSE
473,Mamoswine,Water,530,110,130,80,70,60,80,4,FALSE
474,Porygon-Z,Grass,535,85,80,70,135,75,90,4,FALSE
475,Gallade,Electric,518,68,125,65,65,115,80,4,FALSE
476,Probopass,Water,525,60,55,145,75,150,40,4,FALSE
477,Dusknoir,Water,525,45,100,135,65,135,45,4,FALSE
478,Froslass,Water,480,70,80,70,80,70,110,4,FALSE
479,Rotom,Electric,440,50,50,77,95,77,91,4,FALSE
480,Uxie,Electric,580,75,75,130,75,130,95,4,TRUE
481,Mesprit,Electric,580,80,105,105,105,105,80,4,TRUE
482,Azelf,Electric,580,75,125,70,125,70,115,4,TRUE
483,Dialga,Electric,680,100,120,120,150,100,90,4,TRUE
484,Palkia,Water,680,90,120,100,150,120,100,4,TRUE
485,Heatran,Fire,600,91,90,106,130,106,77,4,TRUE
486,Regigigas,Grass,670,110,160,110,80,110,100,4,TRUE
487,Giratina,Water,680,150,100,120,100,120,90,4,TRUE
488,Cresselia,Electric,600,120,70,120,75,130,85,4,FALSE
489,Phione,Water,480,80,80,80,80,80,80,4,FALSE
490,Manaphy,Water,600,100,100,100,100,100,100,4,FALSE
491,Darkrai,Water,600,70,90,90,135,90,125,4,TRUE
492,Shaymin,Grass,600,100,100,100,100,100,100,4,TRUE
493,Arceus,Grass,720,120,120,120,120,120,120,4,TRUE
